,Year,Age,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2PA,-0.23905293135323455,-0.025381830436097763,0.6846186761111042,0.8825373321065696,0.9737913632613479,0.960766565468625,0.42665861776160857,0.2054562283035826,0.23095826268065955,-0.017108277180600075,0.9931028494105103,1.0,0.3135522164453242,0.2890880226291454,0.8806773073661169,0.8881484709535364,0.183159728475855,0.6838663204852924,0.7513305399960151,0.7528689163520108,0.615281154992809,0.7319816604902154,0.5062830406098769,0.8821582052590127,0.7682689111680432,0.9541169128963152
2P%,-0.045745468081588914,-0.011148219531074413,0.336757374894897,0.34431561407434436,0.3524084512197412,0.2933853737847919,0.8640132908740054,0.044699919781608054,0.0448269201633563,-0.07443400359941918,0.3665251508965038,0.3135522164453242,1.0,0.7888475261009903,0.2947613299577253,0.31496683302517503,0.011748770660711897,0.36001229165822085,0.35770735131169895,0.36972692559581927,0.17348535333023596,0.2566795431642497,0.2860809816994995,0.29464193285147083,0.36060475194490704,0.3372896308526238
eFG%,0.047991773221489606,0.05686716661017412,0.39023983851085003,0.39552735376643666,0.3774981751659761,0.3314360698269667,0.8616885159769418,0.2848925582787046,0.2551098906668716,0.23809309464723097,0.3356478162545828,0.2890880226291454,0.7888475261009903,1.0,0.29195299934635927,0.3024430609792888,0.10470859098107387,0.3019930822648009,0.35735393847821856,0.3504548682371324,0.2065312800201026,0.28002838805226876,0.2510738955102193,0.3001429517411235,0.3686422851559764,0.3759357699690549
FT,-0.1509481005758127,-0.02007291949528333,0.5998265866613426,0.8159805393990461,0.8913508947122161,0.8816294106891187,0.3719101290202083,0.3045078875968987,0.3279469105323643,0.023660728902201014,0.8810365379759916,0.8806773073661169,0.2947613299577253,0.29195299934635927,1.0,0.9888767075435858,0.2422399127446987,0.5978886035496046,0.7004870508194583,0.6889045753435485,0.6056753445863304,0.6842234449834136,0.45097962366468664,0.8583906917825429,0.6805169753409547,0.9276205332931906
FTA,-0.15888535345796367,-0.03773301959136189,0.6127900374266364,0.8222301526896947,0.8919745961610137,0.8763774704475514,0.4018698559899746,0.26126665319490644,0.2860684613992056,-0.012125091186664811,0.8920984911716088,0.8881484709535364,0.31496683302517503,0.3024430609792888,0.9888767075435858,1.0,0.1667360844797225,0.6587804835780985,0.7414846777883725,0.737716120977931,0.5836417317643722,0.6842986320846842,0.5061527625408304,0.8661305798396641,0.7106973236244702,0.9218792383844864
FT%,-0.003983802916335593,0.11440542914166135,0.14604571041377457,0.2074889445774839,0.21977586529576135,0.241510443896457,-0.004785111091165641,0.2727825484035876,0.27220284072992773,0.21350445658168407,0.16970955122381254,0.183159728475855,0.011748770660711897,0.10470859098107387,0.2422399127446987,0.1667360844797225,1.0,-0.07639830602504323,0.037770702400874184,0.001526219608605815,0.24050219487906394,0.1791268710514669,-0.08822616612798154,0.18727938135837038,0.08525157068850961,0.24448030731909057
ORB,-0.20207476890245013,-0.047739510157452945,0.5849233387489492,0.662959012540144,0.6389830919566177,0.5916220409462464,0.49793758854198333,-0.08093193640015174,-0.07152507240612282,-0.22757295572976943,0.7035161204920382,0.6838663204852924,0.36001229165822085,0.3019930822648009,0.5978886035496046,0.6587804835780985,-0.07639830602504323,1.0,0.8613577258295375,0.9339391346638024,0.20151138237063898,0.4534192086135356,0.7045657085569991,0.594491990760296,0.7590325102639592,0.6123740675108299
DRB,-0.043906372018315765,0.027334987966099632,0.6607034861788895,0.8038900200104399,0.7570098068792588,0.7301449825608972,0.45424181171022004,0.190187256543401,0.20261307738415535,-0.08209946418317224,0.7646981926472847,0.7513305399960151,0.35770735131169895,0.35735393847821856,0.7004870508194583,0.7414846777883725,0.037770702400874184,0.8613577258295375,1.0,0.9860307882107124,0.3851225642255142,0.5711125296009543,0.7236389105513675,0.7143503237232464,0.7949430763570091,0.7479305891931896
TRB,-0.09714934108786309,0.0035802405229561143,0.6566614776171668,0.7829950791766696,0.7421485385492573,0.7077174469722232,0.48287242124084667,0.10728123576072497,0.11910847420372943,-0.13238267598300366,0.768717298743121,0.7528689163520108,0.36972692559581927,0.3504548682371324,0.6889045753435485,0.737716120977931,0.001526219608605815,0.9339391346638024,0.9860307882107124,1.0,0.33704706070905316,0.5505068650516224,0.740171799221907,0.6975452004813759,0.8082006073438791,0.7270357362243762
AST,-0.12997379446349677,0.042016739382705996,0.5430101618087493,0.7107812070575541,0.6506047575266604,0.6749096206665686,0.192331525745666,0.405718630921028,0.4359598580896057,0.1530533911462346,0.5989774687221796,0.615281154992809,0.17348535333023596,0.2065312800201026,0.6056753445863304,0.5836417317643722,0.24050219487906394,0.20151138237063898,0.3851225642255142,0.33704706070905316,1.0,0.7873241198522619,0.1051776160211012,0.7936088597247635,0.4909861596414134,0.6641658201864331
STL,-0.16566806079901247,-0.009952435583493556,0.6821144368219287,0.8272270091740601,0.7621759450480866,0.7780984351476034,0.29544282553058226,0.3997501388358737,0.4315756803704738,0.09989555064490602,0.7198544364964524,0.7319816604902154,0.2566795431642497,0.28002838805226876,0.6842234449834136,0.6842986320846842,0.1791268710514669,0.4534192086135356,0.5711125296009543,0.5505068650516224,0.7873241198522619,1.0,0.30771097022384875,0.807921785776106,0.6864284118828968,0.7658617234796032
BLK,-0.08209208622169768,-0.03448197880446633,0.43210953430258825,0.49897904277951816,0.48242163120284215,0.44014118590875206,0.3859876201352368,-0.049852004781170016,-0.04541366646276345,-0.1829980147363371,0.5284386783719286,0.5062830406098769,0.2860809816994995,0.2510738955102193,0.45097962366468664,0.5061527625408304,-0.08822616612798154,0.7045657085569991,0.7236389105513675,0.740171799221907,0.1051776160211012,0.30771097022384875,1.0,0.4391698294536013,0.6015356035122855,0.4631901837538146
TOV,-0.21017567984820615,-0.03651261262581268,0.7104508301419838,0.8898249531958042,0.8904092045540488,0.8935241966141292,0.3737135043704324,0.33437050502285376,0.3650243278575986,0.03220399707731069,0.8728500908880719,0.8821582052590127,0.29464193285147083,0.3001429517411235,0.8583906917825429,0.8661305798396641,0.18727938135837038,0.594491990760296,0.7143503237232464,0.6975452004813759,0.7936088597247635,0.807921785776106,0.4391698294536013,1.0,0.7827455924139786,0.8970022989718439
PF,-0.23217078305326283,-0.014317574408620259,0.8364884130605772,0.8570742609198462,0.7634703270053822,0.7520672954954315,0.4779891497822443,0.21189243248778225,0.22633985896129338,-0.07443052954888596,0.7663970356464372,0.7682689111680432,0.36060475194490704,0.3686422851559764,0.6805169753409547,0.7106973236244702,0.08525157068850961,0.7590325102639592,0.7949430763570091,0.8082006073438791,0.4909861596414134,0.6864284118828968,0.6015356035122855,0.7827455924139786,1.0,0.7500714280979787
PTS,-0.12718574550636014,-0.004842878657389497,0.702310858216955,0.9206312990057403,0.9924959634189902,0.9886060764033499,0.40674495094430574,0.4534348765300287,0.47266276044328936,0.09513572414735642,0.953518348340602,0.9541169128963152,0.3372896308526238,0.3759357699690549,0.9276205332931906,0.9218792383844864,0.24448030731909057,0.6123740675108299,0.7479305891931896,0.7270357362243762,0.6641658201864331,0.7658617234796032,0.4631901837538146,0.8970022989718439,0.7500714280979787,1.0
